,City,Cloudiness,Humidity,Country,Date,Latitude,Longitude,Max Temperature,Wind Speed
0,Yerbogachën,83,87,RU,1585959573,61.28,108.01,30.76,14.16
1,Nikolskoye,90,74,RU,1585959767,59.7,30.79,33.8,11.18
2,Sola,100,87,VU,1585959767,-13.88,167.55,79.09,22.68
3,Cidreira,22,74,BR,1585959767,-30.18,-50.21,67.44,15.88
4,Saint-Pierre,90,94,RE,1585959767,-21.34,55.48,73.4,9.17
5,Qaanaaq,99,76,GL,1585959476,77.48,-69.36,7.03,2.98
6,Geraldton,95,26,AU,1585959768,-28.77,114.6,71.6,18.34
7,Banjar,20,89,ID,1585959768,-8.19,114.97,84.2,4.7
8,Mataura,97,72,NZ,1585959768,-46.19,168.86,64.99,3.0
9,Vaini,75,69,TO,1585959768,-21.2,-175.2,82.4,12.75
10,Fuling,100,76,CN,1585959769,29.7,107.39,53.35,1.86
11,Ushuaia,90,80,AR,1585959769,-54.8,-68.3,41.0,17.22
12,Airai,31,57,TL,1585959476,-8.93,125.41,68.34,2.01
13,Saint George,1,16,US,1585959576,37.1,-113.58,66.2,6.93
14,Gorkovskiy,13,83,RU,1585959769,45.65,41.2,39.69,2.3
15,Jamestown,90,65,US,1585959769,42.1,-79.24,44.6,8.05
16,Rikitea,3,77,PF,1585959770,-23.12,-134.97,77.47,14.43
17,Cape Town,75,100,ZA,1585959770,-33.93,18.42,59.0,4.7
18,Barrow,1,78,US,1585959501,71.29,-156.79,12.2,10.29
19,Udalguri,0,34,IN,1585959770,26.77,92.13,69.64,4.72
20,Sesheke,70,93,ZM,1585959770,-17.48,24.3,64.4,2.24
21,Hong Kong,40,94,HK,1585959700,22.29,114.16,69.01,8.05
22,Halifax,90,93,CA,1585959619,44.65,-63.57,43.0,20.8
23,Middelburg,100,56,ZA,1585959770,-25.78,29.46,55.2,6.11
24,São Filipe,8,67,CV,1585959475,14.9,-24.5,74.64,15.77
25,Bambous Virieux,75,94,MU,1585959505,-20.34,57.76,75.2,3.36
26,Houlton,90,74,US,1585959771,46.13,-67.84,37.4,16.11
27,Horadiz,90,100,AZ,1585959771,39.45,47.34,48.2,4.7
28,Kaitangata,98,68,NZ,1585959773,-46.28,169.85,62.06,7.2
29,Albany,90,76,US,1585959773,42.6,-73.97,50.0,6.93
30,Steinbach am Taunus,19,80,DE,1585959773,50.17,8.57,44.01,3.36
31,Saint Anthony,90,68,US,1585959774,45.02,-93.22,30.2,14.99
32,Lorengau,97,80,PG,1585959474,-2.02,147.27,81.73,10.98
33,Lompoc,4,55,US,1585959774,34.64,-120.46,70.0,14.99
34,Saint Paul Harbor,20,48,US,1585959774,57.79,-152.41,44.6,13.87
35,Beira,14,81,MZ,1585959774,-19.84,34.84,73.26,6.58
36,Kapaa,20,69,US,1585959774,22.08,-159.32,80.6,9.17
37,Hithadhoo,57,75,MV,1585959774,-0.6,73.08,83.21,7.49
38,Itarema,100,87,BR,1585959774,-2.92,-39.92,78.82,5.77
39,Hearst,100,89,CA,1585959988,49.68,-83.67,33.28,4.41
40,Hanzhong,100,61,CN,1585959774,33.07,107.03,50.67,1.39
41,Birao,7,15,CF,1585959775,10.28,22.79,81.61,5.03
42,Katherine,74,62,AU,1585959775,-14.47,132.27,87.8,8.05
43,Marmaris,75,87,TR,1585959775,36.85,28.27,59.0,4.7
44,Dikson,83,93,RU,1585959775,73.51,80.55,5.04,18.97
45,Sitka,90,87,US,1585959481,57.05,-135.33,35.6,8.05
46,Tandil,0,77,AR,1585959776,-37.32,-59.13,55.99,5.68
47,Tiznit Province,35,42,MA,1585959776,29.58,-9.5,60.15,2.89
48,Kandrian,76,78,PG,1585959776,-6.22,149.55,83.43,5.88
49,Lebu,67,84,CL,1585959776,-37.62,-73.65,58.17,7.61
50,Karratha,53,44,AU,1585959574,-20.74,116.85,85.6,18.19
51,Hobart,90,82,AU,1585959598,-42.88,147.33,57.99,5.82
52,Kagoro,93,50,NG,1585959778,9.6,8.38,77.18,3.49
53,Broome,90,86,US,1585959778,42.25,-75.83,44.01,12.75
54,Colomi,40,52,BO,1585959778,-17.35,-65.87,66.2,6.93
55,Punta Arenas,40,73,CL,1585959778,-53.15,-70.92,41.0,23.04
56,Eenhana,91,83,NA,1585959778,-17.47,16.33,69.8,2.24
57,Busselton,5,73,AU,1585959778,-33.65,115.33,55.0,4.0
58,Santa Barbara,1,59,US,1585959778,34.42,-119.7,69.01,11.41
59,Touros,40,94,BR,1585959483,-5.2,-35.46,78.8,4.7
60,Bethel,90,76,US,1585959779,41.37,-73.41,52.0,20.8
61,Provideniya,100,96,RU,1585959779,64.38,-173.3,24.58,14.5
62,Simpang,27,85,ID,1585959779,-1.27,104.08,80.01,2.98
63,Longyearbyen,75,64,SJ,1585959779,78.22,15.64,-0.4,19.46
64,Narsaq,0,45,GL,1585959499,60.92,-46.05,26.6,8.05
65,Tasiilaq,100,53,GL,1585959780,65.61,-37.64,21.2,26.4
66,Mayo,90,54,US,1585959570,38.89,-76.51,59.0,14.99
67,Verkhnyaya Sinyachikha,0,96,RU,1585959780,57.98,61.67,30.15,5.82
68,New Norfolk,90,82,AU,1585959780,-42.78,147.06,57.99,5.82
69,Saint-Philippe,90,94,RE,1585959780,-21.36,55.77,73.4,9.17
70,Roebourne,46,40,AU,1585959780,-20.78,117.13,85.69,19.06
71,Upernavik,0,79,GL,1585959781,72.79,-56.15,7.52,11.68
72,Haradok,26,74,BY,1585959781,55.46,29.98,33.8,8.95
73,Severo-Kuril'sk,89,93,RU,1585959781,50.68,156.12,31.5,12.84
74,Santiago del Estero,6,51,AR,1585959781,-27.8,-64.26,64.38,6.11
75,Plomari,40,87,GR,1585959781,38.98,26.37,51.8,3.94
76,Pierre,1,53,US,1585959617,44.37,-100.35,24.8,4.7
77,Murgab,40,67,TM,1585959781,37.5,61.97,62.6,6.93
78,Helong,33,75,CN,1585959781,42.54,129.0,28.15,20.24
79,Inírida,100,94,CO,1585959781,3.87,-67.92,76.24,0.92
80,Saskylakh,100,98,RU,1585959782,71.92,114.08,28.53,10.63
81,Mar del Plata,1,77,AR,1585959731,-38.0,-57.56,64.0,4.7
82,George Town,20,94,MY,1585959782,5.41,100.34,80.6,4.97
83,Independence,90,92,US,1585959782,39.09,-94.42,33.01,12.75
84,Bougouni,8,14,ML,1585959782,11.42,-7.48,86.47,2.28
85,Ribeira Grande,86,85,PT,1585959782,38.52,-28.7,60.93,32.14
86,Lagunas,53,80,PE,1585959782,-5.23,-75.68,77.77,2.1
87,Atuona,97,79,PF,1585959782,-9.8,-139.03,81.48,12.46
88,Castro,0,50,BR,1585959782,-24.79,-50.01,55.29,6.35
89,Khatanga,100,92,RU,1585959782,71.97,102.5,6.87,16.53
90,Puerto Ayora,75,83,EC,1585959782,-0.74,-90.35,81.0,10.29
91,Bredasdorp,52,93,ZA,1585959783,-34.53,20.04,57.2,3.36
92,Kalmunai,26,80,LK,1585959485,7.42,81.82,79.2,2.17
93,Tougan,0,11,BF,1585959783,13.07,-3.07,90.05,4.85
94,Codrington,99,72,AU,1585959783,-38.27,141.97,53.53,22.28
95,Canavieiras,0,83,BR,1585959783,-15.68,-38.95,79.63,8.81
96,Arraial do Cabo,75,83,BR,1585959784,-22.97,-42.03,77.0,11.41
97,Mahébourg,75,94,MU,1585959784,-20.41,57.7,75.2,3.36
98,Thompson,90,85,CA,1585959784,55.74,-97.86,24.8,5.82
99,Sharkan,46,93,RU,1585959784,57.3,53.87,31.14,8.41
100,Hilo,1,65,US,1585959759,19.73,-155.09,82.4,17.22
101,Walvis Bay,0,93,NA,1585959784,-22.96,14.51,60.01,4.7
102,Nikki,29,46,BJ,1585959784,9.94,3.21,85.77,9.86
103,Chui,3,79,UY,1585959784,-33.7,-53.46,62.13,7.9
104,Harper,100,84,LR,1585959784,4.38,-7.72,81.19,4.99
105,Leningradskiy,44,89,RU,1585959785,69.38,178.42,5.74,10.02
106,Muscat,0,73,OM,1585959643,23.61,58.59,77.0,1.12
107,Chumikan,91,87,RU,1585959785,54.72,135.31,23.38,5.97
108,Maracaibo,63,75,VE,1585959785,10.63,-71.64,81.77,13.11
109,Bathsheba,20,78,BB,1585959785,13.22,-59.52,80.6,16.11
110,Lagoa,93,81,PT,1585959785,39.05,-27.98,60.87,32.91
111,Husavik,90,79,IS,1585959785,66.04,-17.34,19.4,9.17
112,Tuatapere,83,73,NZ,1585959490,-46.13,167.68,64.0,3.0
113,Eydhafushi,39,64,MV,1585959785,5.1,73.07,83.82,7.87
114,Mastic Beach,90,71,US,1585959786,40.77,-72.85,51.8,12.75
115,Hay River,75,55,CA,1585959786,60.82,-115.8,6.8,9.17
116,Youghal,75,87,IE,1585959786,51.95,-7.85,46.99,4.7
117,Blagodatnoye,2,100,RU,1585959786,45.4,42.59,33.8,6.71
118,Portland,90,57,US,1585959745,45.52,-122.68,50.0,5.79
119,Matara,40,83,LK,1585959511,5.95,80.54,75.99,5.21
120,Tura,0,34,IN,1585959786,25.52,90.22,65.46,3.71
121,Mariental,6,39,NA,1585959787,-24.63,17.97,72.64,17.09
122,São João da Barra,35,86,BR,1585959489,-21.64,-41.05,75.81,18.21
123,Lüderitz,0,87,NA,1585959512,-26.65,15.16,59.0,2.24
124,Mount Hagen,40,73,PG,1585959787,-5.86,144.23,71.6,11.41
125,Hermanus,23,94,ZA,1585959787,-34.42,19.23,57.0,6.69
126,Bluff,100,72,NZ,1585959787,-46.6,168.33,64.99,3.0
127,Soe,0,71,ID,1585959787,-9.86,124.28,73.04,1.23
128,Hamilton,1,34,US,1585959788,39.18,-84.53,64.4,0.92
129,Charters Towers,1,53,AU,1585959788,-20.1,146.27,80.67,7.65
130,Flinders,81,46,AU,1585959652,-34.58,150.86,75.0,17.22
131,Eyl,43,72,SO,1585959788,7.98,49.82,80.46,10.83
132,Vao,100,77,NC,1585959788,-22.67,167.48,76.98,20.51
133,Cayhagan,1,71,PH,1585959788,9.67,122.43,82.76,13.44
134,Kruisfontein,0,48,ZA,1585959788,-34.0,24.73,71.73,8.34
135,Dryden,90,79,CA,1585959788,49.78,-92.75,19.4,14.99
136,Slavyanka,39,75,RU,1585959788,42.86,131.38,35.26,19.48
137,Laurel,90,54,US,1585959788,39.1,-76.85,60.01,6.93
138,Levokumskoye,25,88,RU,1585959789,44.82,44.66,38.89,5.12
139,Kiryat Gat,30,67,IL,1585959604,31.61,34.76,60.01,2.24
140,East London,30,60,ZA,1585959789,-33.02,27.91,72.39,10.18
141,Estevan,1,53,CA,1585959789,49.13,-102.98,28.4,5.82
142,Guozhen,97,39,CN,1585959789,34.37,107.36,51.48,1.57
143,Nemuro,75,38,JP,1585959565,43.32,145.57,42.8,10.29
144,Lambontong,20,55,PH,1585959789,6.31,124.81,86.0,9.17
145,Pitimbu,40,94,BR,1585959790,-7.47,-34.81,78.8,4.7
146,Mahmudābād,0,67,IN,1585959790,27.3,81.12,62.6,3.36
147,Yellowknife,40,64,CA,1585959790,62.46,-114.35,3.0,18.34
148,San Cristobal,20,66,VE,1585959790,7.77,-72.22,84.2,9.17
149,Korla,100,31,CN,1585959552,41.76,86.15,49.1,1.66
150,Bengkulu,31,80,ID,1585959790,-3.8,102.27,78.87,4.34
151,Pevek,100,92,RU,1585959791,69.7,170.31,0.36,11.36
152,Kanniyākumāri,1,73,IN,1585959791,8.08,77.57,80.26,4.56
153,Padang,97,78,ID,1585959537,-0.95,100.35,78.66,4.7
154,Avarua,90,84,CK,1585959791,-21.21,-159.78,86.0,12.75
155,Cherskiy,99,89,RU,1585959791,68.75,161.3,-2.52,5.84
156,Ponta do Sol,40,82,PT,1585959791,32.67,-17.1,62.6,4.7
157,Avera,1,49,US,1585959791,33.19,-82.53,77.0,3.36
158,La Providencia,99,32,MX,1585959792,28.72,-111.58,82.0,7.0
159,Pringsewu,98,86,ID,1585959792,-5.36,104.97,77.23,0.63
160,Port Alfred,25,63,ZA,1585959792,-33.59,26.89,74.44,7.47
161,Ilulissat,30,50,GL,1585959792,69.22,-51.1,8.6,6.93
162,Lata,11,87,PT,1585959792,40.16,-8.33,57.0,3.36
163,Vytegra,100,88,RU,1585959793,61.01,36.45,33.76,12.66
164,Hofn,97,87,IS,1585959537,64.25,-15.21,21.29,18.16
165,Pacific Grove,40,62,US,1585959793,36.62,-121.92,64.99,13.87
166,Port Elizabeth,0,88,ZA,1585960146,-33.92,25.57,64.4,2.24
167,Goderich,21,85,CA,1585960149,43.75,-81.72,45.0,9.84
168,Anloga,20,88,GH,1585959555,5.79,0.9,82.4,9.17
169,Kirakira,99,76,SB,1585960151,-10.45,161.92,84.22,15.55
170,Khandyga,97,94,RU,1585959794,62.67,135.6,12.0,4.68
171,Cosalá,5,46,MX,1585959794,24.41,-106.69,79.0,4.0
172,Saint-Paul,18,94,RE,1585959794,-21.01,55.27,73.4,4.7
173,Cascais,91,71,PT,1585959794,38.7,-9.42,55.99,3.36
174,Pisco,23,83,PE,1585959795,-13.7,-76.22,69.8,12.75
175,Half Moon Bay,20,71,US,1585959795,37.46,-122.43,66.0,23.04
176,Umm Kaddadah,2,11,SD,1585959795,13.6,26.69,81.95,16.22
177,Vestmannaeyjar,100,89,IS,1585959795,63.44,-20.27,30.56,26.11
178,Butaritari,43,74,KI,1585959795,3.07,172.79,83.48,8.84
